_id,title,description,author,date
5e84f618fc13ae2cb1000000,UnHung Hero,Pontiac,Jillayne,"{""$date"":""2020-02-12T07:38:36.000Z""}"
5e84f618fc13ae2cb1000001,Plans for Tomorrow (Planes para mañana),Ford,Norine,"{""$date"":""2020-01-01T19:19:22.000Z""}"
5e84f618fc13ae2cb1000002,From the Journals of Jean Seberg,Chevrolet,Gizela,"{""$date"":""2019-09-30T15:37:56.000Z""}"
5e84f618fc13ae2cb1000003,True Confession,Chevrolet,Tobin,"{""$date"":""2019-11-01T10:31:57.000Z""}"
5e84f618fc13ae2cb1000004,Any Questions for Ben?,GMC,Iver,"{""$date"":""2020-02-22T14:03:42.000Z""}"
5e84f618fc13ae2cb1000005,"Sacrament, The",Volkswagen,Faydra,"{""$date"":""2019-08-16T22:43:04.000Z""}"
5e84f618fc13ae2cb1000006,Bad Guy (Nabbeun namja),Nissan,Garwood,"{""$date"":""2019-07-22T13:25:13.000Z""}"
5e84f618fc13ae2cb1000007,Hollywood Party,Honda,Lanna,"{""$date"":""2019-09-03T18:38:52.000Z""}"
5e84f618fc13ae2cb1000008,Conflict,Saab,Reginauld,"{""$date"":""2020-03-19T14:42:43.000Z""}"
5e84f618fc13ae2cb1000009,The Do-Deca-Pentathlon,Volkswagen,Charisse,"{""$date"":""2019-06-17T08:23:08.000Z""}"
5e84f618fc13ae2cb100000a,Swann in Love (Un amour de Swann),Suzuki,Eldin,"{""$date"":""2019-11-29T03:14:53.000Z""}"
5e84f618fc13ae2cb100000b,Saving Silverman (Evil Woman),Cadillac,Bruno,"{""$date"":""2019-04-24T06:29:44.000Z""}"
5e84f618fc13ae2cb100000c,"Informant!, The",Mazda,Nolly,"{""$date"":""2019-11-24T20:29:19.000Z""}"
5e84f618fc13ae2cb100000d,Underworld,Cadillac,Nisse,"{""$date"":""2020-01-27T02:21:11.000Z""}"
5e84f618fc13ae2cb100000e,My First War,Suzuki,Kim,"{""$date"":""2019-11-16T10:27:15.000Z""}"
5e84f618fc13ae2cb100000f,36 Hours,Jeep,Faydra,"{""$date"":""2019-08-13T21:15:07.000Z""}"
5e84f618fc13ae2cb1000010,"Village Barbershop, The",Porsche,Janela,"{""$date"":""2019-11-23T01:57:37.000Z""}"
5e84f618fc13ae2cb1000011,Seeking Justice,Toyota,Dominica,"{""$date"":""2020-01-03T03:36:00.000Z""}"
